,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.0,0.22,1.91,0.41,0.0,0.58,0.0,0.77,0.0,0.0,0.12,0.71,0.0,0.88,0.4,0.63,0.0,1
1,1,0.12,0.1,1.97,0.2,0.0,0.68,0.0,0.82,0.0,0.0,0.33,0.84,0.0,0.8,0.43,0.57,0.0,1
2,2,0.17,0.04,2.02,0.06,0.0,0.69,0.0,0.82,0.0,0.0,0.42,0.88,0.0,0.74,0.48,0.52,0.0,1
3,3,0.15,0.04,1.86,0.0,0.0,0.53,0.0,0.76,0.0,0.0,0.41,0.94,0.0,0.69,0.43,0.5,0.07,1
4,4,0.16,0.01,1.86,0.0,0.0,0.57,0.0,0.73,0.0,0.0,0.4,0.96,0.0,0.65,0.39,0.45,0.07,1
5,5,0.18,0.0,1.87,0.0,0.0,0.61,0.0,0.72,0.0,0.0,0.39,1.02,0.0,0.63,0.3,0.39,0.07,1
6,6,0.14,0.0,2.04,0.0,0.0,0.78,0.0,0.72,0.0,0.0,0.32,1.0,0.0,0.66,0.28,0.3,0.0,1
7,7,0.08,0.0,2.1,0.0,0.0,0.84,0.0,0.72,0.0,0.0,0.29,0.94,0.0,0.65,0.3,0.25,0.0,1
8,8,0.01,0.0,2.13,0.03,0.0,0.9,0.0,0.69,0.0,0.0,0.25,0.87,0.0,0.65,0.31,0.28,0.0,1
9,9,0.0,0.0,2.16,0.13,0.0,0.92,0.0,0.65,0.0,0.0,0.29,0.87,0.0,0.65,0.31,0.33,0.0,1
10,10,0.0,0.0,2.17,0.22,0.0,0.88,0.0,0.59,0.0,0.0,0.27,0.91,0.0,0.65,0.28,0.39,0.0,1
11,11,0.0,0.0,2.2,0.3,0.0,0.95,0.0,0.58,0.0,0.0,0.28,1.02,0.0,0.64,0.22,0.43,0.0,1
12,12,0.0,0.0,2.25,0.3,0.0,0.97,0.0,0.6,0.0,0.0,0.32,1.13,0.0,0.65,0.16,0.54,0.0,1
13,13,0.0,0.0,2.34,0.22,0.0,1.11,0.0,0.62,0.0,0.0,0.41,1.24,0.0,0.61,0.11,0.56,0.0,1
14,14,0.0,0.0,2.34,0.22,0.0,1.06,0.0,0.59,0.0,0.0,0.51,1.26,0.0,0.64,0.1,0.52,0.0,1
15,15,0.0,0.0,2.39,0.12,0.0,1.16,0.0,0.58,0.0,0.0,0.55,1.29,0.0,0.58,0.07,0.5,0.07,1
16,16,0.0,0.0,2.36,0.12,0.0,1.17,0.04,0.55,0.0,0.0,0.57,1.34,0.0,0.59,0.04,0.49,0.07,1
17,17,0.0,0.0,2.39,0.02,0.0,1.22,0.07,0.51,0.0,0.0,0.57,1.43,0.0,0.53,0.0,0.5,0.11,1
18,18,0.0,0.0,2.36,0.13,0.0,1.04,0.07,0.44,0.0,0.0,0.66,1.44,0.0,0.55,0.0,0.44,0.03,1
19,19,0.0,0.0,2.37,0.25,0.0,0.85,0.04,0.41,0.0,0.0,0.71,1.41,0.0,0.57,0.0,0.38,0.03,1
20,20,0.0,0.0,2.4,0.24,0.0,0.85,0.02,0.49,0.0,0.0,0.78,1.3,0.0,0.55,0.0,0.34,0.04,1
21,21,0.07,0.0,2.31,0.17,0.0,0.61,0.02,0.51,0.0,0.0,0.83,1.21,0.0,0.54,0.0,0.28,0.16,1
22,22,0.13,0.0,2.27,0.15,0.0,0.46,0.02,0.55,0.0,0.0,0.95,1.15,0.0,0.52,0.0,0.24,0.24,1
23,23,0.14,0.0,2.23,0.21,0.0,0.4,0.0,0.46,0.0,0.0,1.03,1.11,0.0,0.61,0.0,0.26,0.2,1
24,24,0.07,0.0,2.35,0.16,0.0,0.73,0.05,0.42,0.0,0.0,1.04,1.27,0.0,0.65,0.0,0.42,0.09,1
25,25,0.01,0.0,2.43,0.06,0.0,0.99,0.08,0.37,0.0,0.0,1.03,1.42,0.0,0.66,0.0,0.5,0.03,1
26,26,0.0,0.0,2.45,0.0,0.0,1.09,0.12,0.33,0.0,0.0,1.06,1.58,0.0,0.62,0.0,0.55,0.08,1
27,27,0.0,0.0,2.46,0.0,0.0,1.14,0.09,0.3,0.0,0.0,0.96,1.48,0.0,0.6,0.0,0.46,0.12,1
28,28,0.0,0.0,2.46,0.0,0.0,1.1,0.07,0.19,0.0,0.0,0.69,1.29,0.0,0.41,0.16,0.48,0.1,1
29,29,0.0,0.0,2.46,0.01,0.0,0.96,0.03,0.1,0.0,0.0,0.44,1.14,0.0,0.2,0.28,0.42,0.05,1
30,30,0.0,0.0,2.33,0.01,0.0,0.72,0.0,0.05,0.0,0.0,0.27,1.07,0.0,0.0,0.37,0.41,0.0,1
31,31,0.0,0.0,2.32,0.01,0.0,0.67,0.0,0.14,0.0,0.0,0.3,1.11,0.0,0.0,0.24,0.46,0.0,1
32,32,0.0,0.0,2.3,0.0,0.0,0.59,0.0,0.21,0.0,0.0,0.3,1.14,0.0,0.0,0.12,0.49,0.0,1
33,33,0.0,0.0,2.38,0.0,0.0,0.67,0.0,0.23,0.0,0.0,0.28,0.97,0.0,0.0,0.12,0.53,0.01,1
34,34,0.0,0.0,2.45,0.03,0.0,0.84,0.07,0.23,0.0,0.0,0.28,0.76,0.0,0.0,0.09,0.48,0.01,1
35,35,0.0,0.0,2.47,0.04,0.0,0.87,0.11,0.2,0.0,0.0,0.23,0.54,0.0,0.0,0.1,0.46,0.01,1
36,36,0.0,0.0,2.53,0.04,0.0,0.88,0.19,0.31,0.0,0.0,0.44,0.48,0.0,0.19,0.0,0.28,0.0,1
37,37,0.0,0.0,2.55,0.01,0.0,0.76,0.23,0.4,0.0,0.0,0.53,0.46,0.0,0.36,0.05,0.13,0.0,1
38,38,0.0,0.0,2.62,0.0,0.0,0.78,0.31,0.52,0.0,0.0,0.7,0.44,0.0,0.52,0.1,0.0,0.0,1
39,39,0.0,0.0,2.75,0.0,0.0,0.84,0.42,0.57,0.0,0.0,0.81,0.54,0.0,0.53,0.21,0.0,0.0,1
40,40,0.0,0.0,2.78,0.0,0.0,1.02,0.5,0.52,0.0,0.0,0.79,0.52,0.0,0.51,0.24,0.0,0.0,1
41,41,0.01,0.0,2.86,0.0,0.0,1.25,0.57,0.49,0.0,0.0,0.73,0.49,0.0,0.51,0.3,0.0,0.0,1
42,42,0.03,0.0,2.8,0.0,0.0,1.33,0.58,0.43,0.0,0.0,0.52,0.4,0.0,0.45,0.29,0.0,0.0,1
43,43,0.07,0.0,2.84,0.12,0.0,1.25,0.53,0.3,0.0,0.0,0.34,0.29,0.0,0.29,0.33,0.0,0.0,1
44,44,0.18,0.0,2.8,0.26,0.0,1.17,0.5,0.15,0.0,0.0,0.17,0.15,0.0,0.14,0.32,0.0,0.0,1
45,45,0.33,0.0,2.67,0.35,0.0,1.02,0.41,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.22,0.0,0.0,1
46,46,0.57,0.0,2.53,0.31,0.0,0.92,0.31,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.1,0.0,0.0,1
47,47,0.72,0.0,2.39,0.26,0.0,0.79,0.24,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1
48,48,0.8,0.0,2.46,0.23,0.0,0.74,0.24,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05,1
49,49,0.72,0.0,2.44,0.21,0.0,0.79,0.26,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.14,1
50,50,0.62,0.0,2.46,0.25,0.0,0.82,0.2,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.2,1
51,51,0.52,0.0,2.36,0.35,0.0,1.01,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.3,1
52,52,0.47,0.0,2.31,0.36,0.0,0.91,0.19,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.32,1
53,53,0.47,0.0,2.24,0.35,0.0,0.87,0.26,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,1
54,54,0.49,0.0,2.04,0.19,0.0,0.48,0.22,0.12,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.44,1
55,55,0.63,0.0,1.93,0.11,0.0,0.45,0.13,0.22,0.0,0.0,0.08,0.0,0.0,0.0,0.16,0.0,0.33,1
56,56,0.7,0.0,1.84,0.0,0.0,0.4,0.13,0.37,0.0,0.0,0.12,0.0,0.0,0.0,0.35,0.0,0.32,1
