,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.01,0.61,0.0,0.7,0.4,0.65,0.65,1
1,1,0.0,0.0,0.0,0.0,0.0,0.76,0.05,0.14,0.0,0.0,0.04,0.46,0.0,0.65,0.5,0.24,0.42,1
2,2,0.0,0.0,0.0,0.0,0.0,0.69,0.08,0.23,0.0,0.0,0.03,0.36,0.0,0.56,0.58,0.02,0.28,1
3,3,0.0,0.0,0.0,0.0,0.0,0.64,0.1,0.27,0.0,0.0,0.09,0.18,0.0,0.45,0.58,0.0,0.18,1
4,4,0.0,0.0,0.0,0.0,0.0,0.55,0.08,0.31,0.0,0.0,0.17,0.15,0.0,0.49,0.39,0.03,0.13,1
5,5,0.0,0.0,0.0,0.0,0.0,0.44,0.07,0.34,0.0,0.0,0.24,0.14,0.0,0.5,0.2,0.04,0.05,1
6,6,0.0,0.0,0.0,0.0,0.0,0.37,0.03,0.36,0.0,0.02,0.18,0.33,0.0,0.4,0.2,0.27,0.0,1
7,7,0.0,0.0,0.0,0.0,0.0,0.58,0.03,0.38,0.0,0.08,0.07,0.38,0.06,0.21,0.46,0.45,0.0,1
8,8,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.35,0.0,0.12,0.0,0.3,0.06,0.07,0.64,0.66,0.0,1
9,9,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.25,0.0,0.28,0.0,0.17,0.17,0.08,0.51,0.64,0.06,1
10,10,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.17,0.01,0.37,0.07,0.27,0.11,0.19,0.21,0.51,0.06,1
11,11,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.1,0.01,0.33,0.07,0.27,0.11,0.22,0.0,0.4,0.08,1
12,12,0.0,0.0,0.0,0.0,0.0,0.47,0.02,0.04,0.01,0.15,0.07,0.21,0.0,0.16,0.09,0.26,0.02,1
13,13,0.0,0.0,0.0,0.0,0.0,0.33,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.23,0.02,1
14,14,0.0,0.0,0.0,0.0,0.0,0.45,0.11,0.02,0.05,0.0,0.03,0.0,0.0,0.0,0.31,0.12,0.01,1
15,15,0.0,0.0,0.0,0.0,0.0,0.51,0.09,0.02,0.11,0.0,0.03,0.0,0.0,0.0,0.43,0.05,0.01,1
16,16,0.0,0.0,0.0,0.0,0.0,0.59,0.04,0.02,0.19,0.0,0.03,0.0,0.0,0.0,0.53,0.03,0.01,1
17,17,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.04,0.24,0.0,0.0,0.0,0.0,0.0,0.54,0.06,0.0,1
18,18,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.13,0.22,0.0,0.0,0.01,0.0,0.0,0.43,0.21,0.0,1
19,19,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.15,0.2,0.0,0.0,0.08,0.0,0.0,0.33,0.34,0.04,1
20,20,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.14,0.12,0.0,0.0,0.08,0.12,0.0,0.14,0.45,0.04,1
21,21,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.04,0.12,0.0,0.0,0.16,0.17,0.0,0.05,0.45,0.06,1
22,22,0.01,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.06,0.0,0.13,0.15,0.25,0.0,0.05,0.37,0.02,1
23,23,0.02,0.0,0.0,0.0,0.0,0.74,0.01,0.0,0.05,0.0,0.14,0.19,0.12,0.0,0.06,0.34,0.02,1
24,24,0.09,0.0,0.0,0.0,0.0,0.87,0.01,0.0,0.01,0.0,0.19,0.09,0.08,0.0,0.12,0.24,0.0,1
25,25,0.08,0.0,0.0,0.0,0.0,1.01,0.04,0.06,0.0,0.0,0.06,0.04,0.0,0.0,0.26,0.24,0.0,1
26,26,0.07,0.0,0.0,0.0,0.0,1.14,0.05,0.06,0.02,0.0,0.05,0.0,0.0,0.0,0.38,0.2,0.0,1
27,27,0.0,0.0,0.0,0.0,0.0,1.21,0.05,0.06,0.04,0.0,0.02,0.02,0.0,0.0,0.38,0.21,0.0,1
28,28,0.0,0.0,0.0,0.0,0.0,1.31,0.01,0.0,0.05,0.0,0.05,0.04,0.0,0.0,0.26,0.14,0.0,1
29,29,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.08,0.0,0.12,0.07,0.0,0.0,0.17,0.09,0.0,1
30,30,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.03,0.1,0.0,0.17,0.12,0.0,0.0,0.24,0.15,0.0,1
31,31,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.11,0.12,0.0,0.29,0.2,0.0,0.0,0.28,0.32,0.0,1
32,32,0.01,0.0,0.0,0.0,0.0,1.29,0.0,0.17,0.08,0.0,0.37,0.26,0.0,0.0,0.35,0.47,0.0,1
33,33,0.06,0.0,0.0,0.0,0.0,1.28,0.0,0.18,0.05,0.0,0.32,0.27,0.0,0.0,0.33,0.57,0.09,1
34,34,0.14,0.0,0.0,0.0,0.0,1.34,0.0,0.22,0.05,0.0,0.21,0.36,0.0,0.0,0.21,0.48,0.22,1
35,35,0.15,0.0,0.0,0.0,0.0,1.16,0.0,0.16,0.03,0.0,0.09,0.32,0.0,0.0,0.1,0.32,0.31,1
36,36,0.09,0.0,0.0,0.0,0.0,1.08,0.0,0.12,0.03,0.0,0.15,0.39,0.0,0.0,0.0,0.1,0.31,1
37,37,0.01,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.28,0.4,0.0,0.06,0.0,0.05,0.22,1
38,38,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.39,0.49,0.0,0.12,0.0,0.06,0.13,1
39,39,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.46,0.54,0.0,0.19,0.0,0.11,0.12,1
40,40,0.05,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.47,0.53,0.0,0.26,0.04,0.08,0.17,1
41,41,0.12,0.0,0.0,0.0,0.0,0.51,0.0,0.07,0.0,0.0,0.43,0.53,0.0,0.29,0.13,0.05,0.3,1
42,42,0.22,0.0,0.0,0.0,0.0,0.51,0.0,0.1,0.0,0.0,0.4,0.4,0.0,0.23,0.13,0.0,0.38,1
43,43,0.17,0.0,0.0,0.0,0.0,0.62,0.0,0.12,0.0,0.0,0.28,0.24,0.0,0.11,0.1,0.0,0.33,1
44,44,0.09,0.0,0.0,0.0,0.0,0.73,0.0,0.05,0.0,0.0,0.35,0.1,0.0,0.03,0.0,0.0,0.25,1
45,45,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.19,0.07,0.0,0.24,0.21,0.0,0.01,0.16,0.21,0.23,1
46,46,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.35,0.09,0.0,0.18,0.29,0.0,0.01,0.42,0.45,0.23,1
47,47,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.54,0.16,0.0,0.09,0.41,0.0,0.0,0.81,0.85,0.18,1
48,48,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.55,0.11,0.0,0.09,0.34,0.0,0.0,0.92,0.95,0.04,1
49,49,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.38,0.09,0.0,0.16,0.43,0.0,0.0,0.65,0.87,0.02,1
50,50,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.28,0.01,0.0,0.23,0.52,0.0,0.0,0.29,0.61,0.0,1
51,51,0.0,0.0,0.0,0.0,0.0,0.77,0.01,0.1,0.0,0.0,0.38,0.65,0.0,0.0,0.04,0.3,0.13,1
52,52,0.0,0.0,0.0,0.0,0.0,0.72,0.01,0.09,0.0,0.0,0.46,0.57,0.0,0.0,0.05,0.14,0.25,1
53,53,0.0,0.0,0.0,0.0,0.0,0.9,0.01,0.0,0.0,0.0,0.34,0.41,0.0,0.0,0.15,0.0,0.38,1
54,54,0.0,0.0,0.0,0.0,0.0,1.04,0.04,0.0,0.0,0.0,0.18,0.23,0.0,0.0,0.26,0.0,0.43,1
55,55,0.07,0.0,0.0,0.0,0.0,1.21,0.04,0.01,0.0,0.0,0.11,0.18,0.0,0.0,0.35,0.03,0.41,1
56,56,0.07,0.0,0.0,0.0,0.0,1.1,0.07,0.01,0.0,0.0,0.22,0.11,0.0,0.0,0.35,0.04,0.35,1
57,57,0.12,0.0,0.0,0.0,0.0,1.05,0.04,0.08,0.0,0.0,0.35,0.05,0.0,0.0,0.28,0.11,0.23,1
58,58,0.12,0.0,0.0,0.0,0.0,0.99,0.04,0.07,0.0,0.0,0.48,0.01,0.0,0.0,0.18,0.11,0.14,1
59,59,0.12,0.0,0.0,0.0,0.0,0.97,0.0,0.23,0.0,0.0,0.47,0.07,0.0,0.0,0.07,0.11,0.07,1
60,60,0.06,0.0,0.0,0.0,0.0,0.93,0.03,0.29,0.0,0.0,0.49,0.11,0.0,0.0,0.01,0.12,0.01,1
61,61,0.0,0.0,0.0,0.0,0.0,0.93,0.03,0.49,0.0,0.0,0.3,0.1,0.0,0.0,0.16,0.17,0.0,1
62,62,0.0,0.0,0.0,0.0,0.0,0.97,0.06,0.53,0.0,0.0,0.18,0.04,0.0,0.0,0.24,0.22,0.03,1
63,63,0.07,0.0,0.0,0.0,0.0,1.09,0.03,0.62,0.0,0.0,0.14,0.08,0.0,0.0,0.27,0.18,0.1,1
64,64,0.09,0.0,0.0,0.0,0.0,1.13,0.02,0.71,0.01,0.0,0.23,0.09,0.0,0.0,0.13,0.11,0.1,1
65,65,0.19,0.0,0.0,0.0,0.0,1.19,0.0,0.9,0.04,0.0,0.28,0.11,0.0,0.0,0.13,0.04,0.08,1
66,66,0.13,0.0,0.0,0.0,0.0,1.14,0.0,0.93,0.08,0.0,0.32,0.1,0.0,0.0,0.1,0.02,0.02,1
67,67,0.1,0.0,0.0,0.0,0.0,1.22,0.01,0.83,0.13,0.0,0.34,0.09,0.0,0.0,0.09,0.16,0.02,1
68,68,0.0,0.0,0.0,0.0,0.0,1.2,0.04,0.65,0.15,0.0,0.44,0.07,0.0,0.0,0.0,0.23,0.0,1
69,69,0.0,0.0,0.0,0.0,0.02,1.29,0.06,0.67,0.2,0.0,0.43,0.0,0.0,0.0,0.0,0.34,0.0,1
70,70,0.0,0.0,0.0,0.0,0.03,1.35,0.09,0.68,0.19,0.0,0.39,0.0,0.0,0.06,0.0,0.4,0.0,1
71,71,0.0,0.0,0.0,0.0,0.03,1.49,0.06,0.63,0.19,0.0,0.32,0.0,0.0,0.15,0.0,0.5,0.0,1
