,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.43,0.44,0.14,0.35,0.33,1.68,0.49,0.09,-0.12,0.18,0.17,0.47,0.31,0.54,0.54,0.51,0.66,1
1,1,0.55,0.74,0.14,0.66,0.28,1.61,0.31,0.07,-0.17,0.41,0.06,0.36,0.33,0.55,0.44,0.48,0.55,1
2,2,0.26,0.34,0.24,0.55,0.37,2.14,0.3,0.14,-0.34,0.07,0.04,0.71,0.41,0.49,0.5,0.42,0.48,1
3,3,0.31,0.32,0.07,0.36,0.36,1.79,0.24,0.06,-0.34,0.2,0.08,0.87,-0.12,0.61,0.48,0.54,0.11,1
4,4,0.39,0.4,-0.03,0.27,0.29,1.83,0.45,0.13,-0.37,0.43,0.35,0.55,0.3,0.57,0.52,0.5,0.49,1
5,5,0.77,0.41,0.68,0.36,0.59,2.06,0.6,0.16,-0.21,0.29,0.55,0.2,-0.19,0.31,0.13,0.91,1.58,1
6,6,0.74,0.32,0.37,0.2,0.62,2.14,0.55,0.19,-0.12,0.69,0.6,0.52,-0.04,0.4,0.3,0.55,2.13,1
7,7,0.59,0.35,0.52,0.52,0.56,1.88,0.73,0.16,-0.14,0.69,0.35,0.56,0.01,0.23,0.33,0.65,2.04,1
8,8,0.5,0.21,0.64,0.14,0.65,2.39,0.79,0.28,-0.04,0.65,0.54,0.37,0.18,0.43,0.49,0.38,1.43,1
9,9,0.69,0.39,0.29,0.63,0.42,2.09,0.59,0.03,-0.12,0.63,0.61,0.25,0.1,0.43,0.72,0.46,1.27,1
10,10,0.73,0.4,0.15,0.72,0.34,2.05,0.59,0.24,-0.11,0.73,0.5,0.22,0.17,0.4,0.71,0.47,0.77,1
11,11,0.93,0.86,0.02,0.59,0.38,1.85,0.53,0.01,0.01,0.55,0.53,0.71,0.45,0.46,1.11,0.72,0.92,1
12,12,0.57,0.62,-0.28,0.48,0.25,1.49,0.4,-0.04,0.14,0.78,0.28,0.7,0.62,0.83,0.8,1.13,0.67,1
13,13,0.49,0.99,-0.09,0.6,0.37,2.1,0.22,-0.13,0.1,1.02,0.36,0.76,-0.02,1.17,1.08,0.66,0.82,1
14,14,0.39,0.47,-0.32,0.58,0.3,2.27,0.03,0.14,0.06,1.12,0.56,0.84,0.27,1.44,1.11,0.38,0.33,1
15,15,0.56,0.82,-0.19,0.67,0.14,1.8,-0.19,0.46,0.14,0.89,0.45,0.63,-0.01,1.45,0.73,0.52,0.17,1
16,16,0.68,0.87,0.12,0.38,0.16,1.62,-0.06,0.52,0.15,0.64,0.41,0.59,-0.5,0.92,0.97,1.16,0.88,1
17,17,0.33,0.63,0.44,0.09,0.15,1.7,0.08,1.04,0.22,0.2,0.17,0.45,-0.47,0.5,1.28,2.27,1.21,1
18,18,0.07,0.14,0.57,0.12,0.22,1.84,0.29,1.02,-0.09,-0.0,0.39,0.96,-0.03,0.09,2.07,2.51,1.19,1
19,19,0.06,0.05,0.58,0.14,0.24,1.95,0.28,1.09,-0.14,0.03,0.35,1.04,-0.03,0.06,2.01,2.43,1.06,1
20,20,0.1,0.13,0.56,0.18,0.21,1.79,0.34,1.12,-0.12,-0.07,0.38,0.91,-0.07,0.08,1.91,2.26,1.05,1
21,21,0.04,-0.01,0.52,0.21,0.15,1.74,0.37,1.11,-0.14,-0.03,0.32,0.93,-0.03,0.09,1.89,2.23,1.01,1
22,22,0.09,0.12,0.62,0.18,0.2,1.73,0.32,1.07,-0.11,0.02,0.27,0.95,0.1,0.16,1.81,2.17,0.81,1
23,23,0.07,0.13,0.61,0.22,0.2,1.75,0.35,1.07,-0.11,0.06,0.32,0.95,0.14,0.15,1.75,2.08,0.83,1
24,24,0.11,0.0,0.8,0.36,0.32,1.94,0.47,1.18,-0.07,-0.03,0.23,1.01,0.17,0.14,1.7,1.97,1.14,1
25,25,0.2,0.46,0.22,0.83,0.51,1.38,0.49,-0.4,-0.17,0.49,0.82,0.12,0.83,0.73,0.62,0.44,0.62,1
26,26,0.09,0.18,0.29,0.96,0.51,1.4,0.48,0.23,-0.12,0.55,0.75,0.59,0.85,0.69,0.61,0.21,0.49,1
27,27,0.18,0.1,0.27,1.13,0.43,1.23,0.44,-0.02,-0.15,0.52,0.57,0.5,0.58,0.64,0.41,0.24,0.62,1
28,28,0.74,0.37,0.17,0.82,0.15,0.15,0.06,0.16,-0.05,0.72,0.41,0.61,0.53,0.42,0.31,0.54,1.63,1
29,29,2.67,1.92,-0.38,0.56,-0.54,-0.71,-0.52,0.21,0.14,0.4,0.29,0.49,0.54,-0.1,0.43,1.09,2.1,1
30,30,3.45,2.1,-0.47,1.18,-0.55,-0.85,-0.79,0.27,0.17,-0.05,-0.05,0.48,0.12,-0.26,0.83,1.79,1.92,1
31,31,3.27,1.8,-0.41,1.12,-0.37,-0.55,-1.0,0.23,0.25,-0.22,-0.31,0.09,-0.07,-0.34,1.2,1.93,2.0,1
32,32,3.06,1.46,-0.63,0.57,-0.44,-1.17,-0.94,-0.01,-0.02,-0.34,-0.28,0.22,0.02,-0.24,1.52,1.93,1.86,1
33,33,2.77,1.25,-0.47,0.9,-0.28,-0.86,-1.18,-0.03,0.12,-0.26,0.27,-0.01,0.87,-0.15,1.86,2.1,1.73,1
34,34,3.09,1.32,-0.33,0.68,-0.26,-0.76,-1.26,0.08,0.06,-0.27,-0.11,0.37,0.9,0.03,1.61,1.82,1.33,1
