,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.45,0.0,0.39,0.0,0.5,0.91,0.28,0.54,0.0,0.83,0.0,0.0,0.0,0.0,1.63,0.66,0.36,1
1,1,0.23,0.0,0.38,0.0,0.52,1.17,0.1,0.66,0.0,0.82,0.08,0.0,0.0,0.0,1.44,0.78,0.26,1
2,2,0.08,0.04,0.46,0.0,0.52,1.26,0.0,0.75,0.0,0.81,0.08,0.0,0.0,0.0,1.33,0.97,0.2,1
3,3,0.02,0.04,0.61,0.0,0.53,1.15,0.0,0.96,0.0,0.89,0.0,0.06,0.0,0.0,1.53,1.37,0.12,1
4,4,0.01,0.04,0.66,0.0,0.55,1.12,0.0,1.15,0.0,1.07,0.0,0.06,0.0,0.0,1.84,1.56,0.14,1
5,5,0.0,0.0,0.72,0.0,0.61,1.13,0.0,1.34,0.0,1.24,0.0,0.06,0.0,0.0,2.23,1.74,0.15,1
6,6,0.01,0.0,0.75,0.0,0.64,1.2,0.0,1.38,0.0,1.32,0.0,0.0,0.0,0.0,2.39,1.72,0.13,1
7,7,0.01,0.0,0.74,0.0,0.65,1.13,0.0,1.4,0.0,1.32,0.0,0.0,0.0,0.0,2.51,1.72,0.09,1
8,8,0.01,0.0,0.71,0.0,0.67,1.09,0.0,1.33,0.0,1.33,0.0,0.0,0.0,0.0,2.46,1.67,0.03,1
9,9,0.0,0.0,0.58,0.0,0.65,1.08,0.0,1.21,0.0,1.28,0.0,0.0,0.0,0.0,2.17,1.47,0.03,1
10,10,0.02,0.0,0.55,0.0,0.66,1.17,0.0,1.08,0.0,1.3,0.0,0.0,0.0,0.0,1.86,1.3,0.03,1
11,11,0.02,0.0,0.46,0.0,0.61,1.21,0.01,0.99,0.0,1.23,0.0,0.0,0.0,0.0,1.53,1.21,0.1,1
12,12,0.02,0.0,0.5,0.0,0.61,1.25,0.01,0.98,0.0,1.19,0.0,0.0,0.0,0.0,1.41,1.27,0.13,1
13,13,0.0,0.0,0.46,0.0,0.56,1.33,0.01,0.95,0.0,1.08,0.0,0.0,0.0,0.0,1.29,1.25,0.25,1
14,14,0.0,0.0,0.41,0.0,0.46,1.37,0.0,0.68,0.0,1.03,0.26,0.13,0.0,0.0,0.85,0.81,0.25,1
15,15,0.0,0.0,0.33,0.0,0.36,1.29,0.0,0.36,0.0,0.95,0.44,0.24,0.0,0.0,0.43,0.39,0.26,1
16,16,0.0,0.0,0.27,0.0,0.29,1.17,0.0,0.07,0.0,0.87,0.59,0.37,0.0,0.0,0.0,0.01,0.19,1
17,17,0.0,0.0,0.31,0.0,0.34,1.08,0.0,0.23,0.0,0.83,0.53,0.55,0.0,0.0,0.02,0.16,0.13,1
18,18,0.0,0.0,0.37,0.0,0.38,1.14,0.0,0.4,0.0,0.74,0.51,0.75,0.0,0.0,0.02,0.34,0.1,1
19,19,0.0,0.0,0.46,0.0,0.4,1.09,0.0,0.56,0.0,0.71,0.51,0.95,0.04,0.0,0.07,0.5,0.14,1
20,20,0.0,0.0,0.57,0.0,0.33,1.05,0.0,0.5,0.0,0.68,0.4,0.89,0.04,0.0,0.08,0.5,0.15,1
21,21,0.07,0.0,0.59,0.0,0.26,1.02,0.0,0.42,0.0,0.71,0.31,0.79,0.04,0.0,0.13,0.43,0.21,1
22,22,0.11,0.0,0.62,0.0,0.21,1.03,0.0,0.31,0.0,0.7,0.29,0.68,0.0,0.0,0.16,0.33,0.24,1
23,23,0.13,0.0,0.57,0.0,0.24,1.08,0.0,0.18,0.0,0.67,0.27,0.63,0.0,0.0,0.19,0.32,0.27,1
24,24,0.06,0.0,0.56,0.0,0.29,0.96,0.0,0.1,0.0,0.73,0.3,0.64,0.03,0.0,0.14,0.21,0.2,1
25,25,0.03,0.01,0.53,0.0,0.33,0.89,0.0,0.03,0.0,0.73,0.3,0.62,0.03,0.0,0.05,0.19,0.16,1
26,26,0.03,0.01,0.51,0.0,0.34,0.75,0.0,0.05,0.0,0.78,0.44,0.67,0.1,0.0,0.0,0.06,0.22,1
27,27,0.03,0.01,0.53,0.0,0.36,0.78,0.0,0.06,0.0,0.85,0.5,0.67,0.12,0.0,0.0,0.05,0.29,1
