,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.0,0.15,0.0,0.0,0.15,1.42,0.0,0.0,0.0,0.21,0.0,0.1,0.0,0.0,1.34,0.83,0.29,1
1,1,0.0,0.05,0.0,0.0,0.19,1.27,0.0,0.0,0.0,0.07,0.0,0.03,0.0,0.0,1.24,0.91,0.42,1
2,2,0.0,0.0,0.0,0.0,0.19,1.17,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.13,0.89,0.46,1
3,3,0.0,0.0,0.0,0.0,0.19,1.14,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.98,0.7,0.47,1
4,4,0.0,0.0,0.0,0.0,0.22,1.13,0.0,0.0,0.0,0.0,0.0,0.24,0.01,0.01,0.77,0.54,0.38,1
5,5,0.0,0.0,0.0,0.0,0.3,1.17,0.0,0.0,0.0,0.0,0.0,0.37,0.01,0.01,0.61,0.43,0.27,1
6,6,0.0,0.0,0.0,0.0,0.35,1.15,0.0,0.0,0.0,0.0,0.0,0.44,0.01,0.01,0.45,0.37,0.09,1
7,7,0.0,0.0,0.0,0.0,0.37,1.06,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.42,0.38,0.02,1
8,8,0.0,0.0,0.0,0.0,0.37,0.89,0.0,0.0,0.02,0.0,0.0,0.38,0.05,0.0,0.38,0.32,0.0,1
9,9,0.0,0.0,0.0,0.0,0.39,0.87,0.0,0.0,0.03,0.0,0.04,0.35,0.16,0.0,0.36,0.38,0.0,1
10,10,0.0,0.0,0.0,0.0,0.37,0.92,0.0,0.0,0.04,0.0,0.09,0.27,0.23,0.0,0.31,0.38,0.0,1
11,11,0.0,0.0,0.0,0.0,0.3,0.9,0.0,0.0,0.02,0.0,0.11,0.19,0.18,0.0,0.27,0.45,0.0,1
12,12,0.0,0.0,0.0,0.0,0.16,0.73,0.0,0.0,0.0,0.0,0.07,0.17,0.08,0.0,0.38,0.63,0.0,1
13,13,0.0,0.0,0.0,0.0,0.07,0.48,0.0,0.0,0.0,0.0,0.03,0.09,0.0,0.0,0.62,0.89,0.06,1
14,14,0.0,0.0,0.0,0.0,0.02,0.43,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.76,1.09,0.18,1
15,15,0.0,0.0,0.0,0.0,0.02,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.04,0.18,1
16,16,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.82,0.16,1
17,17,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.64,0.04,1
18,18,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.56,0.04,1
19,19,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.33,0.4,0.0,1
20,20,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.24,0.26,0.0,1
21,21,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.17,0.13,0.0,1
22,22,0.0,0.0,0.0,0.0,0.01,0.42,0.0,0.0,0.02,0.0,0.0,0.04,0.0,0.0,0.21,0.09,0.1,1
23,23,0.0,0.0,0.0,0.0,0.01,0.21,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.38,0.06,0.31,1
24,24,0.0,0.0,0.0,0.0,0.02,0.17,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.69,0.05,0.71,1
