,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.15,0.15,0.0,0.0,0.19,0.56,0.0,0.52,0.38,0.81,0.0,0.11,0.0,0.0,1.29,1.07,0.09,1
1,1,0.48,0.27,0.0,0.0,0.12,0.76,0.01,0.59,0.38,0.66,0.0,0.08,0.08,0.0,1.27,1.1,0.28,1
2,2,0.59,0.23,0.0,0.0,0.12,0.81,0.01,0.63,0.38,0.6,0.0,0.09,0.11,0.0,1.23,1.13,0.39,1
3,3,0.54,0.2,0.0,0.0,0.17,0.79,0.01,0.65,0.43,0.56,0.0,0.08,0.07,0.0,1.11,1.05,0.4,1
4,4,0.53,0.08,0.0,0.0,0.23,0.87,0.01,0.71,0.48,0.55,0.0,0.14,0.05,0.0,0.99,1.07,0.37,1
5,5,0.53,0.07,0.0,0.0,0.27,0.88,0.02,0.75,0.53,0.58,0.0,0.2,0.02,0.0,0.86,0.94,0.3,1
6,6,0.57,0.03,0.0,0.0,0.25,0.87,0.06,0.7,0.48,0.64,0.0,0.34,0.0,0.02,0.66,0.97,0.25,1
7,7,0.62,0.07,0.0,0.0,0.24,0.85,0.11,0.66,0.43,0.65,0.06,0.5,0.0,0.17,0.37,0.76,0.25,1
8,8,0.68,0.07,0.0,0.0,0.22,0.8,0.17,0.64,0.37,0.54,0.12,0.57,0.0,0.31,0.11,0.6,0.27,1
9,9,0.69,0.04,0.0,0.0,0.22,0.76,0.22,0.78,0.43,0.53,0.16,0.59,0.0,0.42,0.02,0.38,0.19,1
10,10,0.67,0.11,0.02,0.0,0.15,0.43,0.16,0.78,0.48,0.4,0.1,0.5,0.0,0.46,0.21,0.62,0.09,1
11,11,0.59,0.11,0.02,0.0,0.07,0.23,0.12,0.77,0.51,0.27,0.04,0.62,0.0,0.61,0.24,0.88,0.0,1
12,12,0.47,0.11,0.02,0.0,0.0,0.0,0.03,0.66,0.48,0.07,0.0,0.8,0.0,0.81,0.23,1.13,0.0,1
13,13,0.38,0.0,0.0,0.0,0.0,0.0,0.03,0.71,0.46,0.0,0.0,0.99,0.0,0.96,0.04,1.1,0.0,1
14,14,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.45,0.0,0.0,1.04,0.0,1.02,0.02,1.11,0.0,1
15,15,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.45,0.0,0.0,1.03,0.0,1.04,0.02,1.13,0.0,1
16,16,0.37,0.0,0.0,0.0,0.02,0.0,0.0,0.82,0.5,0.01,0.0,1.07,0.0,1.03,0.12,1.17,0.0,1
17,17,0.36,0.0,0.0,0.0,0.03,0.0,0.0,0.89,0.54,0.01,0.0,1.09,0.0,0.98,0.23,1.21,0.0,1
18,18,0.37,0.0,0.0,0.0,0.05,0.0,0.0,0.89,0.55,0.07,0.0,1.15,0.0,0.93,0.22,1.04,0.0,1
19,19,0.37,0.0,0.0,0.0,0.05,0.0,0.03,0.87,0.57,0.17,0.0,1.16,0.0,0.89,0.11,0.9,0.0,1
20,20,0.41,0.0,0.03,0.0,0.11,0.05,0.09,0.84,0.61,0.3,0.0,1.21,0.0,0.89,0.0,0.64,0.0,1
21,21,0.41,0.09,0.12,0.0,0.15,0.06,0.14,0.95,0.75,0.3,0.0,1.15,0.0,0.83,0.0,0.58,0.0,1
22,22,0.42,0.16,0.25,0.0,0.25,0.18,0.16,1.03,0.88,0.31,0.0,1.17,0.0,0.83,0.11,0.47,0.0,1
23,23,0.25,0.18,0.33,0.0,0.3,0.26,0.17,1.13,0.98,0.23,0.0,1.05,0.0,0.81,0.42,0.65,0.0,1
24,24,0.11,0.09,0.38,0.0,0.4,0.41,0.2,1.16,1.01,0.24,0.0,0.97,0.0,0.83,0.66,0.7,0.0,1
25,25,0.0,0.02,0.37,0.0,0.39,0.44,0.18,1.11,0.95,0.19,0.0,0.81,0.0,0.82,0.91,0.81,0.03,1
26,26,0.0,0.0,0.36,0.0,0.37,0.38,0.16,1.04,0.94,0.21,0.0,0.74,0.0,0.86,0.9,0.68,0.03,1
27,27,0.0,0.0,0.31,0.0,0.3,0.22,0.1,1.03,0.87,0.21,0.0,0.7,0.0,0.87,0.98,0.67,0.03,1
28,28,0.01,0.0,0.35,0.0,0.27,0.07,0.14,1.09,0.85,0.15,0.0,0.63,0.0,0.8,1.08,0.64,0.0,1
29,29,0.01,0.0,0.34,0.0,0.29,0.11,0.09,1.24,0.84,0.07,0.0,0.55,0.0,0.77,1.22,0.76,0.0,1
30,30,0.01,0.0,0.34,0.0,0.36,0.27,0.07,1.33,0.91,0.01,0.0,0.43,0.0,0.74,1.42,0.89,0.0,1
31,31,0.0,0.0,0.27,0.0,0.41,0.41,0.0,1.42,0.97,0.0,0.0,0.4,0.0,0.75,1.44,0.92,0.0,1
32,32,0.0,0.0,0.21,0.0,0.43,0.48,0.04,1.42,0.97,0.0,0.0,0.35,0.03,0.75,1.43,0.95,0.0,1
33,33,0.0,0.0,0.1,0.0,0.37,0.41,0.15,1.3,0.86,0.0,0.0,0.39,0.03,0.76,1.13,0.75,0.0,1
34,34,0.0,0.0,0.02,0.0,0.23,0.4,0.23,1.1,0.71,0.0,0.0,0.49,0.03,0.7,0.66,0.48,0.0,1
35,35,0.0,0.0,0.03,0.0,0.09,0.35,0.31,0.9,0.56,0.0,0.0,0.59,0.0,0.57,0.22,0.33,0.0,1
36,36,0.0,0.0,0.03,0.0,0.0,0.26,0.25,0.95,0.51,0.0,0.0,0.63,0.0,0.47,0.15,0.46,0.0,1
37,37,0.0,0.0,0.09,0.0,0.0,0.21,0.18,1.08,0.57,0.0,0.0,0.56,0.0,0.41,0.62,1.0,0.0,1
38,38,0.0,0.0,0.09,0.0,0.03,0.14,0.06,1.29,0.72,0.0,0.0,0.53,0.0,0.31,1.21,1.49,0.0,1
39,39,0.0,0.0,0.16,0.0,0.12,0.35,0.02,1.32,0.84,0.0,0.0,0.41,0.0,0.17,1.67,1.95,0.05,1
40,40,0.0,0.0,0.18,0.0,0.24,0.65,0.02,1.34,0.87,0.04,0.0,0.25,0.0,0.06,1.81,2.11,0.1,1
41,41,0.05,0.0,0.22,0.0,0.26,0.87,0.06,1.28,0.85,0.38,0.0,0.13,0.0,0.02,1.78,1.91,0.22,1
42,42,0.08,0.0,0.15,0.0,0.18,1.03,0.09,1.23,0.74,0.82,0.06,0.38,0.0,0.08,1.17,1.25,0.23,1
43,43,0.2,0.06,0.07,0.0,0.07,0.93,0.12,1.05,0.65,1.18,0.13,0.63,0.0,0.14,0.57,0.55,0.3,1
44,44,0.23,0.06,0.04,0.0,0.02,0.97,0.16,1.01,0.61,1.2,0.18,0.76,0.0,0.15,0.03,0.11,0.24,1
45,45,0.2,0.06,0.06,0.0,0.0,0.95,0.19,1.0,0.65,1.04,0.13,0.55,0.0,0.06,0.32,0.29,0.27,1
46,46,0.09,0.0,0.06,0.0,0.0,1.07,0.16,1.14,0.69,0.94,0.07,0.4,0.0,0.03,0.62,0.56,0.25,1
47,47,0.03,0.02,0.04,0.0,0.01,1.14,0.07,1.24,0.71,0.92,0.02,0.22,0.0,0.02,1.1,0.97,0.34,1
48,48,0.03,0.02,0.07,0.0,0.03,0.96,0.02,1.25,0.71,0.92,0.02,0.12,0.0,0.02,1.36,1.23,0.37,1
49,49,0.05,0.02,0.07,0.0,0.1,0.9,0.01,1.25,0.75,0.99,0.0,0.03,0.13,0.0,1.29,1.11,0.28,1
50,50,0.05,0.03,0.04,0.0,0.15,0.77,0.01,1.1,0.76,1.01,0.0,0.22,0.26,0.13,0.78,0.68,0.17,1
51,51,0.05,0.03,0.0,0.0,0.21,0.82,0.01,1.04,0.83,0.97,0.0,0.3,0.36,0.19,0.55,0.31,0.08,1
52,52,0.03,0.03,0.0,0.0,0.22,0.75,0.0,0.99,0.87,0.88,0.0,0.34,0.35,0.26,0.63,0.32,0.1,1
53,53,0.0,0.0,0.0,0.0,0.31,0.76,0.0,0.97,0.99,0.8,0.0,0.14,0.43,0.13,1.01,0.42,0.14,1
54,54,0.0,0.0,0.0,0.0,0.41,0.62,0.0,0.99,1.08,0.86,0.0,0.06,0.59,0.07,1.03,0.46,0.1,1
