,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.97,0.0,0.75,0.0,0.86,0.0,0.65,0.0,0.0,0.08,1
1,1,0.0,0.0,0.51,0.0,0.0,0.18,0.0,0.94,0.0,0.66,0.0,0.84,0.0,0.42,0.36,0.14,0.12,1
2,2,0.0,0.0,0.51,0.0,0.0,0.48,0.0,0.91,0.0,0.6,0.0,0.79,0.0,0.23,0.69,0.24,0.18,1
3,3,0.03,0.0,0.42,0.0,0.0,0.48,0.0,1.06,0.0,0.84,0.0,0.84,0.04,0.05,0.93,0.44,0.18,1
4,4,0.03,0.0,0.32,0.0,0.0,0.3,0.0,1.2,0.0,1.13,0.0,0.86,0.13,0.03,0.81,0.43,0.08,1
5,5,0.04,0.0,0.22,0.0,0.0,0.0,0.0,1.35,0.0,1.43,0.0,0.94,0.22,0.0,0.69,0.43,0.0,1
6,6,0.59,0.0,0.16,0.0,0.11,0.09,0.0,1.39,0.13,1.81,0.0,0.65,0.22,0.0,0.62,0.23,0.0,1
7,7,1.2,0.0,0.12,0.0,0.21,0.14,0.0,1.44,0.25,2.16,0.0,0.38,0.17,0.0,0.53,0.11,0.0,1
8,8,1.86,0.0,0.15,0.0,0.29,0.18,0.0,1.57,0.38,2.61,0.0,0.12,0.13,0.0,0.43,0.0,0.0,1
9,9,1.92,0.0,0.25,0.0,0.28,0.2,0.0,1.63,0.37,2.71,0.0,0.13,0.21,0.0,0.43,0.0,0.0,1
10,10,1.94,0.0,0.43,0.0,0.28,0.35,0.0,1.54,0.29,2.77,0.0,0.14,0.29,0.0,0.45,0.0,0.0,1
11,11,1.91,0.0,0.51,0.0,0.31,0.53,0.0,1.39,0.23,2.71,0.0,0.11,0.27,0.0,0.57,0.0,0.0,1
12,12,1.95,0.0,0.54,0.0,0.26,0.61,0.0,1.25,0.12,2.47,0.0,0.16,0.34,0.0,0.57,0.0,0.0,1
13,13,1.95,0.0,0.48,0.0,0.18,0.56,0.0,1.25,0.07,2.22,0.0,0.21,0.43,0.0,0.55,0.0,0.0,1
14,14,1.92,0.0,0.41,0.0,0.09,0.54,0.0,1.16,0.0,1.93,0.0,0.25,0.51,0.0,0.42,0.02,0.0,1
15,15,1.92,0.0,0.42,0.0,0.05,0.58,0.0,1.09,0.0,1.79,0.0,0.26,0.39,0.0,0.32,0.08,0.0,1
16,16,1.96,0.0,0.42,0.0,0.02,0.67,0.0,1.03,0.0,1.69,0.0,0.25,0.3,0.0,0.26,0.15,0.0,1
17,17,1.96,0.0,0.51,0.0,0.04,0.88,0.0,1.0,0.03,1.51,0.0,0.29,0.29,0.0,0.43,0.16,0.0,1
18,18,1.89,0.0,0.55,0.0,0.09,1.01,0.0,0.96,0.05,1.39,0.0,0.24,0.34,0.0,0.65,0.1,0.0,1
19,19,1.83,0.0,0.59,0.0,0.13,1.13,0.0,0.93,0.07,1.3,0.0,0.2,0.38,0.0,0.84,0.05,0.0,1
20,20,1.81,0.0,0.57,0.0,0.13,1.03,0.0,0.92,0.04,1.35,0.0,0.13,0.35,0.0,0.85,0.08,0.0,1
21,21,1.82,0.0,0.57,0.0,0.14,1.05,0.0,0.95,0.02,1.34,0.0,0.13,0.29,0.0,0.82,0.12,0.0,1
22,22,1.44,0.0,0.69,0.0,0.21,1.21,0.0,0.88,0.0,1.18,0.0,0.1,0.15,0.0,1.11,0.3,0.0,1
23,23,1.03,0.0,0.94,0.0,0.27,1.3,0.0,0.94,0.0,0.91,0.0,0.05,0.08,0.0,1.39,0.38,0.0,1
24,24,0.6,0.0,1.19,0.0,0.27,1.3,0.0,1.03,0.0,0.62,0.0,0.02,0.0,0.0,1.74,0.45,0.0,1
25,25,0.48,0.0,1.23,0.0,0.23,1.0,0.0,1.26,0.0,0.44,0.0,0.02,0.0,0.0,1.65,0.28,0.0,1
26,26,0.42,0.0,1.18,0.0,0.21,0.91,0.0,1.39,0.0,0.37,0.0,0.02,0.0,0.0,1.63,0.18,0.0,1
27,27,0.24,0.0,0.99,0.0,0.24,0.75,0.0,1.36,0.0,0.42,0.0,0.0,0.0,0.0,1.33,0.11,0.02,1
28,28,0.12,0.0,0.92,0.0,0.23,0.77,0.0,1.22,0.0,0.48,0.0,0.0,0.0,0.0,1.16,0.11,0.02,1
29,29,0.0,0.0,0.85,0.0,0.22,0.72,0.0,1.08,0.0,0.6,0.0,0.0,0.0,0.0,0.9,0.1,0.02,1
30,30,0.05,0.0,1.0,0.0,0.25,0.92,0.0,1.12,0.0,0.66,0.0,0.0,0.0,0.0,0.8,0.11,0.04,1
