,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.07,0.0,0.09,0.0,0.01,0.62,1
1,1,0.07,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.48,0.17,0.0,0.03,0.0,0.1,0.75,1
2,2,0.07,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.52,0.25,0.0,0.0,0.0,0.18,0.74,1
3,3,0.04,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.38,0.31,0.0,0.0,0.0,0.25,0.55,1
4,4,0.11,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.24,0.26,0.0,0.0,0.0,0.27,0.56,1
5,5,0.21,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.12,0.2,0.0,0.0,0.0,0.34,0.51,1
6,6,0.27,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.28,0.0,0.06,0.0,0.38,0.55,1
7,7,0.25,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.35,0.0,0.15,0.0,0.45,0.53,1
8,8,0.21,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.49,0.0,0.22,0.0,0.49,0.55,1
9,9,0.12,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.47,0.0,0.31,0.0,0.56,0.53,1
10,10,0.06,0.0,0.65,0.01,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.46,0.0,0.35,0.0,0.56,0.48,1
11,11,0.0,0.0,0.64,0.08,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.41,0.0,0.47,0.0,0.61,0.43,1
12,12,0.0,0.0,0.71,0.16,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.43,0.0,0.54,0.0,0.67,0.42,1
13,13,0.0,0.0,0.72,0.23,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.45,0.0,0.63,0.0,0.7,0.43,1
14,14,0.01,0.0,0.72,0.2,0.0,0.0,0.0,0.0,0.01,0.78,0.0,0.54,0.0,0.65,0.0,0.72,0.32,1
15,15,0.04,0.0,0.68,0.15,0.0,0.0,0.0,0.0,0.03,0.64,0.01,0.61,0.0,0.65,0.0,0.77,0.16,1
16,16,0.04,0.0,0.69,0.07,0.0,0.0,0.0,0.0,0.03,0.44,0.02,0.65,0.0,0.68,0.0,0.81,0.01,1
