,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
186,186,0.02,0.0,0.15,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.03,0.0,0.0,0.0,0.0,0.12,0
187,187,0.0,0.0,0.19,0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.13,0.2,0.29,0
188,188,0.0,0.0,0.3,0.03,0.0,0.19,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.52,0.57,0.42,0
189,189,0.0,0.0,0.34,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.76,0.77,0.51,0
190,190,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.09,0.02,0.0,0.0,0.83,0.84,0.5,0
191,191,0.0,0.0,0.3,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.01,0.08,0.0,0.0,0.53,0.58,0.45,0
192,192,0.0,0.0,0.37,0.0,0.0,0.21,0.0,0.02,0.0,0.0,0.07,0.13,0.0,0.0,0.6,0.69,0.83,0
193,193,0.11,0.0,0.37,0.0,0.0,0.07,0.0,0.09,0.0,0.0,0.11,0.13,0.0,0.0,0.7,0.6,1.22,0
194,194,0.15,0.0,0.36,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.11,0.08,0.0,0.0,0.88,0.7,1.73,0
195,195,0.18,0.0,0.29,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.05,0.04,0.0,0.0,0.86,0.58,1.79,0
196,196,0.06,0.0,0.37,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.04,0.09,0.0,0.0,0.87,0.71,1.52,0
197,197,0.03,0.0,0.42,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.05,0.22,0.0,0.0,0.83,0.73,0.91,0
198,198,0.0,0.0,0.51,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.3,0.0,0.0,0.75,0.9,0.34,0
199,199,0.0,0.0,0.45,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.39,0.0,0.0,0.65,0.85,0.04,0
200,200,0.0,0.0,0.34,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.33,0.0,0.0,0.6,0.82,0.02,0
201,201,0.0,0.0,0.21,0.21,0.0,0.0,0.0,0.03,0.0,0.0,0.15,0.24,0.08,0.0,0.61,0.64,0.0,0
202,202,0.0,0.0,0.1,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.07,0.08,0.12,0.0,0.63,0.55,0.0,0
203,203,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.17,0.0,0.0,0.1,0.01,0.23,0.0,0.66,0.57,0.0,0
204,204,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.19,0.0,0.0,0.12,0.04,0.27,0.01,0.65,0.5,0.0,0
205,205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.23,0.12,0.34,0.05,0.6,0.45,0.0,0
206,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.23,0.13,0.35,0.05,0.58,0.4,0.0,0
207,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.26,0.12,0.38,0.04,0.55,0.46,0.0,0
208,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.2,0.05,0.4,0.0,0.54,0.51,0.0,0
209,209,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.21,0.06,0.33,0.0,0.55,0.49,0.0,0
210,210,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.25,0.05,0.25,0.0,0.59,0.51,0.0,0
211,211,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.33,0.04,0.15,0.0,0.66,0.53,0.0,0
212,212,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.37,0.02,0.1,0.0,0.61,0.49,0.0,0
213,213,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.37,0.02,0.03,0.06,0.42,0.34,0.0,0
214,214,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.35,0.02,0.02,0.11,0.2,0.18,0.0,0
215,215,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.45,0.17,0.02,0.32,0.05,0.07,0.0,0
216,216,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.63,0.35,0.02,0.45,0.01,0.03,0.0,0
217,217,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.55,0.0,0.59,0.0,0.0,0.0,0
218,218,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.66,0.03,0.58,0.0,0.0,0.0,0
219,219,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.75,0.05,0.6,0.0,0.0,0.0,0
220,220,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.91,0.05,0.64,0.0,0.0,0.0,0
221,221,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,1.0,0.02,0.57,0.0,0.0,0.0,0
222,222,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,1.03,0.0,0.57,0.0,0.0,0.0,0
223,223,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.98,0.0,0.56,0.0,0.0,0.0,0
224,224,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.94,0.0,0.57,0.0,0.0,0.0,0
225,225,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.97,0.0,0.58,0.0,0.0,0.0,0
226,226,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.96,0.0,0.49,0.0,0.0,0.0,0
227,227,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1.01,0.02,0.55,0.0,0.0,0.0,0
228,228,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.03,0.03,0.46,0.0,0.0,0.0,0
229,229,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.1,0.08,0.56,0.0,0.0,0.0,0
230,230,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,1.12,0.06,0.5,0.0,0.0,0.0,0
231,231,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.19,0.08,0.59,0.0,0.0,0.0,0
232,232,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.04,0.37,0.0,0.06,0.29,0
233,233,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.6,0.04,0.22,0.0,0.11,0.54,0
234,234,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.48,0.18,0.0,0.0,0.54,0.53,0.91,0
235,235,0.0,0.0,0.31,0.0,0.0,0.04,0.0,0.07,0.0,0.0,0.35,0.09,0.0,0.0,1.08,0.99,0.92,0
236,236,0.0,0.0,0.4,0.0,0.0,0.08,0.0,0.11,0.0,0.0,0.22,0.0,0.0,0.0,1.63,1.43,0.79,0
237,237,0.0,0.0,0.42,0.0,0.0,0.16,0.0,0.12,0.0,0.0,0.27,0.0,0.0,0.0,1.62,1.51,0.51,0
238,238,0.0,0.0,0.45,0.0,0.0,0.31,0.0,0.13,0.0,0.0,0.29,0.0,0.0,0.0,1.61,1.43,0.3,0
239,239,0.0,0.0,0.5,0.0,0.0,0.36,0.0,0.14,0.0,0.0,0.31,0.0,0.0,0.0,1.59,1.39,0.2,0
240,240,0.0,0.0,0.56,0.0,0.0,0.48,0.0,0.19,0.0,0.0,0.31,0.0,0.0,0.0,1.48,1.31,0.14,0
241,241,0.0,0.0,0.61,0.0,0.0,0.51,0.0,0.22,0.0,0.0,0.33,0.0,0.0,0.0,1.38,1.3,0.1,0
242,242,0.0,0.0,0.61,0.0,0.0,0.72,0.0,0.26,0.0,0.0,0.33,0.0,0.0,0.0,1.26,1.29,0.09,0
243,243,0.0,0.0,0.62,0.0,0.0,0.79,0.0,0.27,0.0,0.0,0.33,0.0,0.0,0.0,1.19,1.36,0.05,0
244,244,0.0,0.0,0.6,0.0,0.0,0.81,0.0,0.28,0.0,0.0,0.37,0.0,0.0,0.0,1.11,1.42,0.0,0
245,245,0.0,0.0,0.56,0.0,0.0,0.74,0.0,0.19,0.0,0.0,0.4,0.06,0.0,0.0,0.71,1.2,0.0,0
246,246,0.0,0.0,0.52,0.0,0.0,0.67,0.0,0.09,0.0,0.0,0.41,0.21,0.0,0.0,0.35,0.91,0.0,0
247,247,0.0,0.0,0.54,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.45,0.32,0.0,0.0,0.0,0.68,0.09,0
248,248,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.01,0.0,0.0,0.36,0.33,0.0,0.0,0.34,0.99,0.12,0
249,249,0.0,0.0,0.56,0.0,0.0,0.61,0.0,0.04,0.0,0.0,0.35,0.2,0.0,0.0,0.71,1.35,0.27,0
250,250,0.0,0.0,0.44,0.0,0.0,0.83,0.0,0.11,0.0,0.0,0.29,0.08,0.0,0.0,1.13,1.78,0.31,0
251,251,0.05,0.0,0.48,0.0,0.0,1.0,0.0,0.15,0.0,0.0,0.41,0.04,0.0,0.0,1.17,2.11,0.32,0
252,252,0.13,0.0,0.53,0.0,0.0,1.06,0.0,0.12,0.0,0.0,0.49,0.02,0.0,0.0,0.96,2.17,0.23,0
253,253,0.21,0.0,0.62,0.0,0.0,1.13,0.0,0.05,0.0,0.0,0.54,0.02,0.0,0.0,0.67,2.09,0.11,0
254,254,0.16,0.0,0.56,0.05,0.0,1.05,0.0,0.0,0.0,0.07,0.56,0.19,0.0,0.0,0.29,1.53,0.07,0
255,255,0.07,0.0,0.57,0.07,0.0,0.96,0.0,0.0,0.0,0.16,0.5,0.31,0.0,0.0,0.13,1.16,0.02,0
256,256,0.0,0.0,0.59,0.08,0.0,0.82,0.0,0.0,0.0,0.26,0.46,0.42,0.0,0.0,0.0,0.78,0.02,0
257,257,0.08,0.0,0.56,0.05,0.0,0.87,0.0,0.05,0.01,0.22,0.48,0.31,0.0,0.0,0.01,0.89,0.0,0
258,258,0.26,0.02,0.56,0.11,0.0,1.13,0.0,0.09,0.01,0.13,0.51,0.3,0.0,0.0,0.01,0.82,0.0,0
259,259,0.46,0.02,0.56,0.1,0.0,1.28,0.0,0.14,0.01,0.03,0.55,0.28,0.0,0.0,0.01,0.73,0.0,0
260,260,0.56,0.02,0.58,0.08,0.0,1.21,0.0,0.12,0.0,0.0,0.49,0.29,0.0,0.0,0.0,0.5,0.0,0
261,261,0.57,0.0,0.6,0.0,0.0,0.97,0.0,0.1,0.0,0.0,0.48,0.3,0.0,0.0,0.0,0.51,0.0,0
262,262,0.53,0.0,0.66,0.01,0.0,0.91,0.0,0.09,0.01,0.0,0.46,0.21,0.0,0.0,0.19,0.69,0.0,0
263,263,0.45,0.0,0.67,0.01,0.0,1.03,0.0,0.14,0.07,0.0,0.4,0.12,0.0,0.0,0.35,0.81,0.0,0
264,264,0.36,0.0,0.66,0.01,0.0,1.04,0.0,0.2,0.1,0.0,0.35,0.03,0.0,0.0,0.52,0.84,0.0,0
265,265,0.31,0.0,0.61,0.0,0.0,1.01,0.0,0.23,0.11,0.0,0.25,0.04,0.0,0.0,0.45,0.72,0.0,0
266,266,0.36,0.0,0.6,0.0,0.0,0.98,0.0,0.24,0.08,0.0,0.28,0.05,0.0,0.0,0.47,0.65,0.0,0
267,267,0.51,0.0,0.65,0.0,0.0,1.06,0.0,0.18,0.06,0.0,0.34,0.1,0.0,0.0,0.49,0.69,0.0,0
268,268,0.59,0.0,0.69,0.01,0.0,1.03,0.0,0.12,0.03,0.0,0.43,0.26,0.0,0.0,0.37,0.74,0.0,0
269,269,0.66,0.0,0.7,0.02,0.0,0.96,0.0,0.03,0.01,0.0,0.47,0.38,0.0,0.0,0.2,0.75,0.0,0
270,270,0.67,0.0,0.67,0.02,0.0,0.82,0.0,0.02,0.0,0.0,0.45,0.41,0.0,0.0,0.0,0.7,0.0,0
271,271,0.72,0.0,0.6,0.01,0.0,0.79,0.0,0.02,0.0,0.0,0.49,0.32,0.0,0.0,0.0,0.65,0.0,0
272,272,0.74,0.0,0.55,0.0,0.0,0.84,0.0,0.02,0.0,0.0,0.53,0.31,0.0,0.0,0.0,0.58,0.0,0
273,273,0.71,0.0,0.48,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.56,0.3,0.0,0.0,0.0,0.51,0.0,0
274,274,0.65,0.0,0.49,0.02,0.0,0.93,0.0,0.0,0.0,0.0,0.5,0.33,0.0,0.0,0.0,0.44,0.0,0
275,275,0.56,0.0,0.52,0.03,0.0,0.87,0.0,0.0,0.0,0.0,0.31,0.28,0.0,0.0,0.0,0.32,0.0,0
276,276,0.51,0.0,0.56,0.03,0.0,0.72,0.0,0.0,0.0,0.0,0.14,0.27,0.0,0.0,0.0,0.23,0.0,0
277,277,0.49,0.0,0.51,0.01,0.0,0.86,0.0,0.0,0.01,0.0,0.01,0.17,0.0,0.0,0.13,0.19,0.0,0
278,278,0.49,0.0,0.46,0.0,0.0,0.91,0.0,0.0,0.03,0.0,0.01,0.08,0.0,0.0,0.26,0.31,0.0,0
279,279,0.48,0.0,0.43,0.0,0.0,1.03,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.26,0.3,0.0,0
280,280,0.49,0.0,0.5,0.0,0.0,1.07,0.0,0.0,0.06,0.0,0.01,0.08,0.0,0.0,0.13,0.31,0.0,0
281,281,0.5,0.0,0.55,0.0,0.0,1.2,0.02,0.0,0.06,0.0,0.03,0.21,0.0,0.0,0.0,0.16,0.0,0
282,282,0.64,0.0,0.6,0.01,0.0,1.11,0.02,0.0,0.08,0.0,0.08,0.23,0.0,0.0,0.0,0.27,0.0,0
283,283,0.75,0.0,0.59,0.04,0.0,0.98,0.02,0.0,0.09,0.0,0.08,0.21,0.0,0.0,0.0,0.27,0.0,0
284,284,0.9,0.0,0.52,0.04,0.0,0.69,0.0,0.0,0.16,0.0,0.07,0.07,0.0,0.0,0.13,0.46,0.01,0
285,285,0.96,0.1,0.36,0.03,0.0,0.55,0.0,0.0,0.24,0.03,0.04,0.04,0.0,0.0,0.43,0.56,0.14,0
286,286,0.93,0.1,0.16,0.0,0.0,0.29,0.0,0.14,0.29,0.08,0.02,0.01,0.0,0.0,0.75,0.85,0.5,0
287,287,0.92,0.16,0.19,0.01,0.0,0.2,0.0,0.26,0.27,0.16,0.02,0.01,0.02,0.0,1.05,0.98,0.84,0
288,288,0.68,0.05,0.36,0.02,0.0,0.2,0.0,0.42,0.2,0.26,0.0,0.01,0.06,0.0,1.07,1.01,1.08,0
289,289,0.51,0.07,0.54,0.02,0.0,0.22,0.05,0.49,0.15,0.25,0.0,0.0,0.1,0.0,1.16,0.92,1.22,0
290,290,0.21,0.01,0.52,0.01,0.0,0.26,0.05,0.63,0.13,0.18,0.0,0.0,0.08,0.0,1.18,0.96,1.18,0
291,291,0.09,0.01,0.47,0.0,0.0,0.26,0.05,0.72,0.14,0.05,0.0,0.0,0.04,0.0,1.31,1.01,1.14,0
292,292,0.0,0.0,0.49,0.0,0.01,0.58,0.01,0.79,0.14,0.0,0.0,0.0,0.0,0.0,1.5,1.25,0.75,0
293,293,0.0,0.0,0.56,0.0,0.01,0.77,0.05,0.75,0.1,0.0,0.0,0.0,0.0,0.0,1.71,1.55,0.46,0
294,294,0.0,0.0,0.59,0.0,0.02,1.0,0.05,0.78,0.04,0.0,0.0,0.0,0.0,0.0,1.9,1.91,0.14,0
295,295,0.0,0.0,0.53,0.0,0.04,0.99,0.04,0.77,0.0,0.0,0.0,0.01,0.0,0.0,2.0,2.03,0.03,0
296,296,0.0,0.0,0.52,0.0,0.09,0.89,0.03,0.78,0.0,0.0,0.0,0.03,0.0,0.0,2.01,2.07,0.0,0
297,297,0.0,0.0,0.47,0.0,0.14,0.86,0.06,0.78,0.0,0.0,0.0,0.03,0.0,0.0,2.0,2.06,0.0,0
298,298,0.0,0.0,0.44,0.0,0.18,0.74,0.23,0.8,0.0,0.0,0.04,0.13,0.0,0.0,1.56,1.57,0.0,0
299,299,0.0,0.0,0.37,0.0,0.18,0.6,0.51,0.85,0.0,0.0,0.13,0.34,0.0,0.0,0.71,0.52,0.0,0
