,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.57,0.2,0.45,0.0,0.0,0.31,0.0,0.93,0.36,0.73,0.0,0.91,0.0,0.0,0.29,0.24,0.39,1
1,1,0.52,0.26,0.37,0.0,0.0,0.3,0.0,0.99,0.4,0.57,0.0,0.66,0.0,0.0,0.8,0.74,0.13,1
2,2,0.49,0.29,0.3,0.0,0.0,0.36,0.0,0.98,0.43,0.52,0.0,0.58,0.0,0.0,1.1,1.05,0.0,1
3,3,0.45,0.26,0.3,0.0,0.0,0.43,0.0,0.93,0.44,0.58,0.0,0.58,0.02,0.0,1.11,1.12,0.0,1
4,4,0.46,0.26,0.29,0.0,0.0,0.29,0.0,0.91,0.43,0.59,0.02,0.61,0.05,0.0,1.1,1.12,0.0,1
5,5,0.49,0.25,0.31,0.0,0.0,0.14,0.0,0.92,0.41,0.56,0.09,0.61,0.14,0.0,1.06,1.05,0.0,1
6,6,0.57,0.21,0.24,0.0,0.0,0.03,0.0,0.95,0.37,0.56,0.15,0.63,0.12,0.0,1.02,0.93,0.0,1
7,7,0.61,0.18,0.25,0.0,0.0,0.03,0.0,0.98,0.37,0.54,0.15,0.59,0.09,0.0,0.98,0.85,0.0,1
8,8,0.62,0.18,0.27,0.0,0.0,0.0,0.0,0.97,0.39,0.57,0.08,0.56,0.0,0.0,0.96,0.78,0.0,1
9,9,0.61,0.18,0.31,0.0,0.0,0.0,0.0,1.01,0.44,0.54,0.03,0.59,0.03,0.0,0.96,0.79,0.0,1
10,10,0.66,0.15,0.29,0.0,0.0,0.0,0.0,0.95,0.43,0.57,0.07,0.68,0.04,0.0,0.8,0.66,0.0,1
11,11,0.75,0.06,0.25,0.0,0.0,0.0,0.0,0.85,0.39,0.56,0.19,0.85,0.06,0.0,0.46,0.46,0.0,1
12,12,0.75,0.04,0.27,0.0,0.0,0.0,0.0,0.67,0.32,0.58,0.29,0.91,0.03,0.0,0.15,0.25,0.0,1
13,13,0.7,0.04,0.28,0.0,0.0,0.0,0.0,0.55,0.28,0.55,0.35,0.98,0.03,0.0,0.0,0.21,0.0,1
14,14,0.61,0.04,0.32,0.0,0.0,0.0,0.0,0.62,0.3,0.57,0.28,0.91,0.06,0.0,0.0,0.34,0.0,1
15,15,0.54,0.12,0.27,0.0,0.0,0.0,0.0,0.74,0.32,0.55,0.18,0.81,0.06,0.0,0.24,0.54,0.0,1
16,16,0.49,0.22,0.3,0.0,0.0,0.0,0.0,0.87,0.34,0.54,0.04,0.69,0.09,0.0,0.51,0.72,0.0,1
17,17,0.35,0.27,0.28,0.0,0.0,0.0,0.0,0.91,0.33,0.51,0.02,0.54,0.05,0.0,0.8,0.78,0.0,1
18,18,0.34,0.28,0.3,0.0,0.0,0.0,0.0,0.95,0.32,0.53,0.03,0.52,0.08,0.0,0.88,0.74,0.0,1
19,19,0.35,0.31,0.28,0.0,0.0,0.0,0.0,0.99,0.31,0.54,0.05,0.5,0.1,0.0,0.9,0.6,0.0,1
20,20,0.44,0.28,0.25,0.0,0.0,0.0,0.0,1.07,0.33,0.52,0.04,0.49,0.16,0.0,0.89,0.42,0.0,1
21,21,0.48,0.18,0.21,0.0,0.0,0.0,0.0,1.1,0.36,0.54,0.05,0.44,0.2,0.0,0.84,0.26,0.0,1
22,22,0.48,0.05,0.12,0.0,0.0,0.0,0.0,1.18,0.4,0.57,0.1,0.39,0.21,0.0,0.81,0.13,0.0,1
23,23,0.46,0.04,0.09,0.0,0.0,0.0,0.0,1.23,0.41,0.64,0.13,0.37,0.19,0.0,0.69,0.04,0.0,1
24,24,0.41,0.01,0.11,0.0,0.0,0.02,0.0,1.28,0.43,0.67,0.19,0.36,0.21,0.0,0.6,0.0,0.0,1
25,25,0.42,0.0,0.17,0.0,0.0,0.02,0.0,1.27,0.43,0.72,0.19,0.37,0.21,0.0,0.54,0.0,0.0,1
26,26,0.41,0.0,0.18,0.0,0.0,0.02,0.0,1.26,0.44,0.81,0.23,0.38,0.23,0.0,0.56,0.0,0.0,1
27,27,0.39,0.0,0.17,0.0,0.0,0.01,0.0,1.22,0.43,0.83,0.22,0.42,0.18,0.0,0.57,0.0,0.0,1
28,28,0.31,0.0,0.18,0.0,0.0,0.01,0.0,1.19,0.42,0.79,0.24,0.43,0.14,0.0,0.58,0.0,0.0,1
29,29,0.27,0.0,0.21,0.0,0.0,0.01,0.0,1.2,0.42,0.74,0.18,0.43,0.12,0.0,0.63,0.0,0.0,1
30,30,0.23,0.0,0.22,0.0,0.0,0.0,0.0,1.25,0.45,0.72,0.16,0.43,0.16,0.0,0.7,0.0,0.0,1
31,31,0.25,0.0,0.23,0.0,0.0,0.0,0.0,1.3,0.47,0.73,0.15,0.47,0.22,0.0,0.77,0.0,0.0,1
32,32,0.25,0.0,0.26,0.0,0.0,0.0,0.0,1.33,0.48,0.72,0.13,0.47,0.24,0.0,0.78,0.0,0.0,1
33,33,0.24,0.0,0.27,0.0,0.0,0.0,0.0,1.35,0.49,0.71,0.13,0.44,0.21,0.0,0.79,0.0,0.0,1
34,34,0.23,0.0,0.23,0.0,0.0,0.0,0.0,1.37,0.51,0.74,0.12,0.41,0.2,0.0,0.79,0.06,0.0,1
35,35,0.18,0.0,0.21,0.0,0.0,0.0,0.0,1.36,0.55,0.73,0.17,0.43,0.21,0.0,0.85,0.17,0.0,1
36,36,0.13,0.0,0.23,0.0,0.0,0.0,0.0,1.4,0.56,0.72,0.19,0.52,0.26,0.0,0.87,0.37,0.0,1
37,37,0.06,0.0,0.3,0.0,0.0,0.0,0.0,1.39,0.53,0.69,0.19,0.55,0.27,0.0,0.87,0.42,0.0,1
38,38,0.04,0.0,0.3,0.0,0.0,0.0,0.0,1.39,0.51,0.71,0.21,0.54,0.34,0.0,0.81,0.44,0.0,1
39,39,0.09,0.0,0.27,0.0,0.0,0.0,0.0,1.34,0.52,0.75,0.17,0.52,0.37,0.0,0.76,0.38,0.0,1
40,40,0.14,0.0,0.25,0.0,0.0,0.0,0.0,1.35,0.55,0.81,0.18,0.5,0.46,0.0,0.74,0.46,0.0,1
41,41,0.16,0.0,0.26,0.0,0.0,0.0,0.0,1.4,0.58,0.89,0.14,0.52,0.43,0.0,0.79,0.5,0.0,1
42,42,0.19,0.0,0.27,0.0,0.0,0.0,0.0,1.44,0.63,0.95,0.14,0.54,0.41,0.0,0.81,0.52,0.0,1
43,43,0.18,0.0,0.28,0.0,0.0,0.0,0.0,1.46,0.65,0.95,0.1,0.54,0.39,0.0,0.83,0.44,0.0,1
44,44,0.22,0.0,0.22,0.0,0.0,0.0,0.0,1.4,0.64,0.96,0.07,0.45,0.43,0.0,0.77,0.36,0.0,1
45,45,0.16,0.0,0.18,0.0,0.0,0.0,0.0,1.42,0.62,0.94,0.09,0.4,0.41,0.0,0.75,0.32,0.0,1
46,46,0.16,0.0,0.14,0.0,0.0,0.0,0.0,1.42,0.64,0.94,0.11,0.36,0.4,0.0,0.72,0.29,0.0,1
47,47,0.17,0.0,0.24,0.0,0.0,0.09,0.0,1.45,0.69,0.96,0.09,0.51,0.35,0.0,0.87,0.47,0.08,1
48,48,0.16,0.12,0.42,0.0,0.04,0.22,0.0,1.43,0.66,0.88,0.06,0.58,0.33,0.0,1.06,0.81,0.4,1
49,49,0.11,0.22,0.6,0.0,0.05,0.34,0.0,1.38,0.54,0.72,0.01,0.55,0.26,0.0,1.33,1.18,0.89,1
50,50,0.02,0.33,0.64,0.0,0.05,0.28,0.0,1.34,0.34,0.52,0.05,0.46,0.14,0.0,1.29,1.44,1.28,1
51,51,0.0,0.21,0.56,0.0,0.01,0.16,0.0,1.12,0.15,0.28,0.05,0.48,0.06,0.0,0.97,1.44,1.5,1
52,52,0.0,0.11,0.48,0.0,0.0,0.04,0.0,0.92,0.05,0.15,0.04,0.57,0.0,0.0,0.65,1.5,1.56,1
53,53,0.01,0.05,0.42,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.67,0.0,0.0,0.47,1.46,1.62,1
54,54,0.01,0.05,0.43,0.0,0.0,0.0,0.0,0.83,0.0,0.06,0.0,0.57,0.0,0.0,0.7,1.71,1.66,1
55,55,0.01,0.16,0.46,0.0,0.0,0.0,0.0,0.86,0.0,0.24,0.0,0.39,0.0,0.0,1.09,2.01,1.72,1
56,56,0.0,0.11,0.53,0.0,0.0,0.0,0.0,0.78,0.03,0.44,0.0,0.12,0.07,0.0,1.63,2.34,1.67,1
57,57,0.0,0.11,0.64,0.0,0.0,0.15,0.0,0.81,0.04,0.56,0.0,0.02,0.11,0.0,1.97,2.35,1.5,1
58,58,0.0,0.01,0.7,0.0,0.02,0.37,0.0,0.83,0.06,0.57,0.0,0.03,0.14,0.0,2.12,2.25,1.22,1
59,59,0.0,0.0,0.67,0.0,0.02,0.52,0.0,0.92,0.1,0.54,0.0,0.06,0.06,0.0,1.93,1.79,0.88,1
60,60,0.0,0.0,0.56,0.0,0.04,0.48,0.0,0.96,0.17,0.61,0.04,0.09,0.07,0.0,1.62,1.42,0.64,1
61,61,0.0,0.0,0.47,0.0,0.05,0.35,0.0,1.01,0.23,0.62,0.1,0.15,0.03,0.0,1.27,1.03,0.48,1
62,62,0.0,0.0,0.54,0.0,0.06,0.39,0.0,1.04,0.25,0.66,0.12,0.17,0.04,0.0,1.06,0.91,0.44,1
63,63,0.0,0.0,0.58,0.0,0.05,0.35,0.0,0.95,0.26,0.6,0.07,0.19,0.01,0.0,1.0,0.82,0.33,1
64,64,0.0,0.0,0.6,0.0,0.04,0.32,0.0,0.9,0.28,0.62,0.02,0.12,0.01,0.0,0.84,0.66,0.24,1
65,65,0.0,0.0,0.55,0.0,0.03,0.2,0.0,0.86,0.28,0.64,0.0,0.07,0.0,0.0,0.74,0.54,0.22,1
66,66,0.0,0.0,0.5,0.0,0.01,0.29,0.0,0.92,0.3,0.73,0.0,0.0,0.0,0.0,0.6,0.41,0.2,1
67,67,0.0,0.0,0.46,0.0,0.0,0.39,0.0,0.93,0.32,0.81,0.0,0.0,0.0,0.0,0.55,0.39,0.17,1
68,68,0.0,0.0,0.37,0.0,0.0,0.5,0.0,0.96,0.36,0.9,0.03,0.0,0.0,0.0,0.51,0.35,0.14,1
69,69,0.0,0.0,0.29,0.0,0.0,0.49,0.0,0.98,0.4,0.97,0.03,0.01,0.01,0.0,0.44,0.32,0.11,1
