,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.15,0.0,1.08,0.04,0.75,0.0,0.06,2.08,0.46,0.78,0.0,1.24,0.08,0.45,1.15,0.0,0.0,1
1,1,0.08,0.0,0.92,0.01,0.92,0.0,0.03,2.0,0.63,0.88,0.0,1.35,0.03,0.62,0.99,0.0,0.0,1
2,2,0.03,0.0,0.94,0.0,1.08,0.0,0.04,2.02,0.79,1.01,0.0,1.37,0.0,0.78,0.87,0.0,0.0,1
3,3,0.01,0.0,1.04,0.0,1.18,0.0,0.07,2.11,0.83,1.04,0.0,1.34,0.0,0.9,0.79,0.0,0.0,1
4,4,0.01,0.0,1.13,0.0,1.21,0.0,0.14,2.19,0.92,1.11,0.0,1.42,0.0,0.91,0.8,0.0,0.0,1
5,5,0.01,0.0,1.05,0.0,1.19,0.0,0.18,2.19,0.93,1.04,0.0,1.5,0.0,0.87,0.88,0.0,0.0,1
6,6,0.0,0.0,0.89,0.03,1.07,0.0,0.16,2.13,0.95,1.02,0.0,1.59,0.02,0.67,1.11,0.0,0.35,1
7,7,0.14,0.0,0.78,0.03,0.95,0.0,0.15,1.99,0.83,1.02,0.0,1.45,0.09,0.55,1.03,0.0,0.68,1
8,8,0.36,0.0,0.76,0.03,0.81,0.0,0.18,1.8,0.6,0.91,0.0,1.42,0.09,0.45,0.95,0.0,0.86,1
9,9,0.58,0.0,0.78,0.01,0.75,0.0,0.27,1.66,0.37,0.83,0.0,1.38,0.08,0.44,0.71,0.0,0.67,1
10,10,0.53,0.0,0.77,0.01,0.77,0.0,0.3,1.7,0.26,0.63,0.05,1.49,0.0,0.47,0.81,0.0,0.41,1
11,11,0.52,0.0,0.85,0.01,0.87,0.0,0.26,1.72,0.36,0.76,0.05,1.49,0.0,0.43,0.88,0.0,0.22,1
12,12,0.47,0.0,0.97,0.0,0.99,0.0,0.22,1.71,0.45,0.89,0.05,1.46,0.0,0.4,0.98,0.0,0.06,1
13,13,0.61,0.0,1.11,0.0,1.08,0.0,0.18,1.62,0.54,1.07,0.0,1.43,0.0,0.4,0.98,0.0,0.0,1
14,14,0.59,0.0,1.14,0.0,1.22,0.0,0.25,1.7,0.72,1.15,0.0,1.42,0.18,0.32,1.01,0.0,0.0,1
15,15,0.56,0.0,1.12,0.0,1.33,0.0,0.28,1.84,0.91,1.2,0.0,1.43,0.36,0.24,1.03,0.0,0.0,1
16,16,0.47,0.0,1.11,0.0,1.43,0.0,0.31,1.95,1.09,1.26,0.0,1.44,0.51,0.13,1.05,0.0,0.0,1
17,17,0.47,0.0,1.11,0.0,1.43,0.0,0.29,1.96,1.08,1.21,0.0,1.45,0.49,0.13,1.03,0.0,0.0,1
18,18,0.48,0.0,1.13,0.0,1.43,0.0,0.28,1.96,1.09,1.19,0.0,1.49,0.48,0.14,1.03,0.0,0.0,1
19,19,0.54,0.0,1.17,0.0,1.44,0.0,0.28,1.98,1.1,1.17,0.0,1.47,0.51,0.16,1.02,0.0,0.0,1
20,20,0.35,0.0,1.11,0.0,1.63,0.0,0.21,2.21,1.47,1.41,0.06,1.45,0.35,0.47,0.96,0.0,0.0,1
21,21,0.19,0.0,1.03,0.0,1.8,0.01,0.27,2.48,1.8,1.59,0.06,1.5,0.19,0.68,0.76,0.0,0.0,1
22,22,0.0,0.0,0.96,0.0,1.97,0.01,0.27,2.71,2.14,1.72,0.06,1.54,0.0,0.89,0.55,0.0,0.0,1
23,23,0.0,0.0,0.89,0.0,1.93,0.01,0.33,2.73,2.1,1.61,0.0,1.63,0.01,0.79,0.48,0.0,0.0,1
24,24,0.0,0.0,0.76,0.0,1.87,0.0,0.34,2.7,2.04,1.33,0.0,1.56,0.06,0.71,0.59,0.0,0.0,1
25,25,0.0,0.0,0.68,0.0,1.85,0.0,0.4,2.68,1.98,1.15,0.0,1.58,0.11,0.59,0.71,0.14,0.0,1
26,26,0.0,0.0,0.6,0.0,1.77,0.0,0.48,2.69,1.84,0.74,0.0,1.52,0.16,0.48,0.65,0.14,0.0,1
27,27,0.0,0.0,0.53,0.0,1.68,0.01,0.49,2.66,1.74,0.66,0.02,1.49,0.16,0.53,0.59,0.14,0.0,1
28,28,0.0,0.0,0.39,0.0,1.54,0.01,0.45,2.57,1.61,0.4,0.02,1.32,0.19,0.6,0.63,0.0,0.0,1
