,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.79,0.16,0.98,0.0,0.0,1.2,0.0,0.14,0.81,0.43,1.01,1.1,0.0,2.02,0.6,1.0,0.0,1
1,1,0.37,0.11,0.64,0.0,0.41,1.22,0.0,0.61,0.88,0.97,0.54,0.79,0.0,1.13,0.38,0.47,0.0,1
2,2,0.14,0.06,0.34,0.0,0.69,1.24,0.0,0.89,0.94,1.25,0.32,0.58,0.0,0.59,0.26,0.14,0.0,1
3,3,0.07,0.0,0.19,0.0,0.77,1.11,0.0,0.96,0.95,1.3,0.27,0.51,0.04,0.43,0.27,0.06,0.0,1
4,4,0.04,0.0,0.16,0.0,0.81,1.07,0.0,0.95,0.94,1.29,0.25,0.48,0.06,0.43,0.3,0.04,0.0,1
5,5,0.0,0.06,0.23,0.0,0.81,1.0,0.0,0.93,0.93,1.36,0.17,0.49,0.06,0.36,0.34,0.04,0.0,1
6,6,0.0,0.09,0.27,0.0,0.82,1.03,0.0,0.92,0.92,1.39,0.16,0.47,0.03,0.27,0.37,0.02,0.0,1
7,7,0.0,0.09,0.26,0.0,0.83,1.09,0.0,0.92,0.88,1.37,0.09,0.4,0.07,0.21,0.39,0.0,0.0,1
8,8,0.0,0.03,0.23,0.0,0.81,1.12,0.0,0.97,0.83,1.3,0.07,0.34,0.11,0.24,0.37,0.0,0.0,1
9,9,0.0,0.0,0.18,0.0,0.81,1.08,0.03,1.0,0.78,1.23,0.01,0.32,0.1,0.31,0.3,0.02,0.0,1
10,10,0.0,0.0,0.16,0.0,0.81,1.02,0.06,1.03,0.77,1.19,0.01,0.33,0.04,0.34,0.23,0.03,0.0,1
11,11,0.0,0.0,0.24,0.0,0.78,1.14,0.13,1.02,0.77,1.18,0.0,0.27,0.0,0.27,0.12,0.02,0.0,1
12,12,0.0,0.0,0.27,0.0,0.72,1.28,0.16,0.98,0.75,1.12,0.0,0.23,0.0,0.18,0.07,0.02,0.0,1
13,13,0.0,0.0,0.34,0.0,0.66,1.4,0.17,0.94,0.72,1.1,0.0,0.17,0.0,0.09,0.02,0.01,0.0,1
14,14,0.0,0.0,0.23,0.0,0.61,1.18,0.14,0.96,0.69,1.02,0.0,0.13,0.0,0.1,0.04,0.01,0.0,1
15,15,0.0,0.0,0.19,0.0,0.56,0.99,0.1,0.99,0.69,1.0,0.0,0.12,0.0,0.11,0.05,0.0,0.0,1
